"","observed_on","year","prism_tmin","prism_tmax","Month","Day","yday","Latitude","id","local_hour","hour_temperature","color","colorid","season"
"104","2015-03-17",2015,7.71226542995368,18.8489797301744,3,17,76,30,6361830,17,16.9724540328756,"brown",0,"Non-Breeding season"
"105","2017-06-08",2017,21.1189805949736,32.2220399470837,6,8,159,30,6602574,0,21.1189805949736,"green",1,"Breeding season"
"106","2017-06-29",2017,21.1189805949736,32.2220399470837,6,29,180,30,6875835,21,24.9984021287255,"green",1,"Breeding season"
"107","2017-07-02",2017,22.8395355685468,35.8427286792825,7,2,183,30,6894092,17,34.1093470084067,"brown",0,"Breeding season"
"108","2017-05-27",2017,15.7760332304894,28.7540014604482,5,27,147,30,6909271,11,26.98923813855,"brown",0,"Breeding season"
"109","2017-07-07",2017,22.8395355685468,35.8427286792825,7,7,188,30,6956515,13,35.6453062716645,"green",1,"Breeding season"
"110","2017-07-10",2017,22.8395355685468,35.8427286792825,7,10,191,30,6996173,9,31.1852918331146,"green",1,"Breeding season"
"111","2017-06-19",2017,21.1189805949736,32.2220399470837,6,19,170,30,7070613,1,21.1189805949736,"green",1,"Breeding season"
"112","2017-07-15",2017,22.8395355685468,35.8427286792825,7,15,196,30,7097521,12,35.050707970271,"brown",0,"Breeding season"
"113","2017-07-23",2017,22.8395355685468,35.8427286792825,7,23,204,30,7201081,7,27.1014346603622,"brown",0,"Breeding season"
"114","2017-08-09",2017,22.3945155819327,33.3456972269084,8,9,221,30,7429762,21,26.1093823470013,"brown",0,"Breeding season"
"115","2017-08-11",2017,22.3945155819327,33.3456972269084,8,11,223,30,7502200,1,22.3945155819327,"green",1,"Breeding season"
"116","2017-08-13",2017,22.3945155819327,33.3456972269084,8,13,225,30,7515285,2,22.3945155819327,"green",1,"Breeding season"
"117","2017-08-18",2017,22.3945155819327,33.3456972269084,8,18,230,30,7626132,1,22.3945155819327,"green",1,"Breeding season"
"118","2017-08-24",2017,22.3945155819327,33.3456972269084,8,24,236,30,7633154,13,33.1596963617632,"brown",0,"Breeding season"
"119","2017-08-19",2017,22.3945155819327,33.3456972269084,8,19,231,30,7651405,0,22.3945155819327,"green",1,"Breeding season"
"120","2017-08-23",2017,22.3945155819327,33.3456972269084,8,23,235,30,7684844,23,24.7103465392126,"green",1,"Breeding season"
"121","2017-08-23",2017,22.3945155819327,33.3456972269084,8,23,235,30,7684877,23,24.7103465392126,"green",1,"Breeding season"
"122","2017-08-20",2017,22.3945155819327,33.3456972269084,8,20,232,30,7688390,8,27.3583912177429,"green",1,"Breeding season"
"123","2017-08-20",2017,22.3945155819327,33.3456972269084,8,20,232,30,7688393,9,29.0553425165555,"green",1,"Breeding season"
"124","2017-08-21",2017,22.3945155819327,33.3456972269084,8,21,233,30,7707231,13,33.1614719815027,"brown",0,"Breeding season"
"125","2017-08-29",2017,22.3945155819327,33.3456972269084,8,29,241,30,7745757,16,32.5958829970835,"green",1,"Breeding season"
"126","2017-09-03",2017,18.790743978636,31.618944725382,9,3,246,30,7763213,12,30.7257210411671,"green",1,"Non-Breeding season"
"127","2017-08-27",2017,22.3945155819327,33.3456972269084,8,27,239,30,7773023,19,28.5283043810168,"green",1,"Breeding season"
"128","2017-08-29",2017,22.3945155819327,33.3456972269084,8,29,241,30,7780880,21,26.0383582353629,"green",1,"Breeding season"
"129","2017-09-24",2017,18.790743978636,31.618944725382,9,24,267,30,8091520,18,27.9134349719785,"green",1,"Non-Breeding season"
"130","2017-09-16",2017,18.790743978636,31.618944725382,9,16,259,30,8130619,1,18.790743978636,"green",1,"Non-Breeding season"
"131","2017-09-18",2017,18.790743978636,31.618944725382,9,18,261,30,8191801,22,22.1762233567304,"green",1,"Non-Breeding season"
"132","2017-09-20",2017,18.790743978636,31.618944725382,9,20,263,30,8197997,9,26.0699710341882,"green",1,"Non-Breeding season"
"133","2017-09-30",2017,18.790743978636,31.618944725382,9,30,273,30,8262571,12,30.634896108574,"green",1,"Non-Breeding season"
"134","2017-10-06",2017,12.0519656106208,27.0736093414594,10,6,279,30,8290199,10,22.5451129166908,"green",1,"Non-Breeding season"
"135","2017-10-07",2017,12.0519656106208,27.0736093414594,10,7,280,30,8303805,20,18.0586820747077,"green",1,"Non-Breeding season"
"136","2017-09-27",2017,18.790743978636,31.618944725382,9,27,270,30,8317902,22,22.1703779650503,"green",1,"Non-Breeding season"
"137","2017-09-27",2017,18.790743978636,31.618944725382,9,27,270,30,8323808,22,22.1703779650503,"green",1,"Non-Breeding season"
"138","2017-10-09",2017,12.0519656106208,27.0736093414594,10,9,282,30,8325275,9,20.1367605234326,"green",1,"Non-Breeding season"
"139","2017-10-07",2017,12.0519656106208,27.0736093414594,10,7,280,30,8362624,12,25.8908619238768,"green",1,"Non-Breeding season"
"140","2017-10-02",2017,12.0519656106208,27.0736093414594,10,2,275,30,8380062,7,14.8264337905189,"green",1,"Non-Breeding season"
"141","2017-10-16",2017,12.0519656106208,27.0736093414594,10,16,289,30,8432275,17,24.3687145779769,"brown",0,"Non-Breeding season"
"142","2017-10-03",2017,12.0519656106208,27.0736093414594,10,3,276,30,8437621,22,16.0062362098688,"green",1,"Non-Breeding season"
"143","2017-10-04",2017,12.0519656106208,27.0736093414594,10,4,277,30,8581830,22,16.0057984024824,"green",1,"Non-Breeding season"
"144","2017-10-07",2017,12.0519656106208,27.0736093414594,10,7,280,30,8582240,18,22.2868617769323,"green",1,"Non-Breeding season"
"145","2017-10-13",2017,12.0519656106208,27.0736093414594,10,13,286,30,8582733,0,12.0519656106208,"green",1,"Non-Breeding season"
"146","2017-03-27",2017,11.8746387452535,23.9427804324572,3,27,86,30,8591671,18,20.5326748325792,"green",1,"Non-Breeding season"
"147","2017-11-02",2017,10.6140055852662,22.7688771342615,11,2,306,30,8657414,14,22.7688771342615,"green",1,"Non-Breeding season"
"148","2017-11-03",2017,10.6140055852662,22.7688771342615,11,3,307,30,8667228,14,22.7688771342615,"green",1,"Non-Breeding season"
"149","2017-11-03",2017,10.6140055852662,22.7688771342615,11,3,307,30,8671340,12,21.712723900594,"brown",0,"Non-Breeding season"
"150","2017-11-12",2017,10.6140055852662,22.7688771342615,11,12,316,30,8782551,14,22.7688771342615,"brown",0,"Non-Breeding season"
"151","2017-11-23",2017,10.6140055852662,22.7688771342615,11,23,327,30,8912044,17,20.2919474085543,"brown",0,"Non-Breeding season"
"152","2018-02-26",2018,5.28828071459896,16.6708039452509,2,26,57,30,10013112,16,15.7400838154426,"brown",0,"Non-Breeding season"
"153","2016-07-29",2016,23.5033574449112,35.6468583667089,7,30,211,30,10013682,13,35.4548240461816,"green",1,"Breeding season"
"154","2018-02-21",2018,5.28828071459896,16.6708039452509,2,21,52,30,10078837,18,12.6535692127173,"brown",0,"Non-Breeding season"
"155","2018-03-05",2018,10.3299929497174,23.5429194549615,3,5,64,30,10103926,15,23.2771943397334,"brown",0,"Non-Breeding season"
"156","2018-03-06",2018,10.3299929497174,23.5429194549615,3,6,65,30,10120690,13,23.2782088737821,"green",1,"Non-Breeding season"
"157","2018-03-06",2018,10.3299929497174,23.5429194549615,3,6,65,30,10120691,13,23.2782088737821,"green",1,"Non-Breeding season"
"158","2018-03-18",2018,10.3299929497174,23.5429194549615,3,18,77,30,10299422,12,22.5410996224008,"green",1,"Non-Breeding season"
"159","2018-03-18",2018,10.3299929497174,23.5429194549615,3,18,77,30,10299424,13,23.2900446827708,"green",1,"Non-Breeding season"
"160","2018-03-21",2018,10.3299929497174,23.5429194549615,3,21,80,30,10353772,17,21.3490746333815,"brown",0,"Non-Breeding season"
"161","2018-03-25",2018,10.3299929497174,23.5429194549615,3,25,84,31,10413915,11,21.3824154689987,"green",1,"Non-Breeding season"
"162","2018-03-24",2018,10.3299929497174,23.5429194549615,3,24,83,30,10443646,15,23.2956849729919,"brown",0,"Non-Breeding season"
"163","2018-03-26",2018,10.3299929497174,23.5429194549615,3,26,85,30,10448213,18,19.7961223364738,"brown",0,"Non-Breeding season"
"164","2018-03-29",2018,10.3299929497174,23.5429194549615,3,29,88,30,10495397,17,21.4118247898413,"green",1,"Non-Breeding season"
"165","2018-03-29",2018,10.3299929497174,23.5429194549615,3,29,88,30,10496660,17,21.4118247898413,"green",1,"Non-Breeding season"
"166","2018-03-31",2018,10.3299929497174,23.5429194549615,3,31,90,30,10534011,14,23.5429194549615,"green",1,"Non-Breeding season"
"167","2018-04-01",2018,9.29912081190864,24.4099682511336,4,1,91,30,10552095,15,24.1354405518154,"brown",0,"Breeding season"
"168","2018-04-01",2018,9.29912081190864,24.4099682511336,4,1,91,30,10614607,19,17.3853570122765,"brown",0,"Breeding season"
"169","2018-04-04",2018,9.29912081190864,24.4099682511336,4,4,94,30,10627082,13,24.1384030783253,"green",1,"Breeding season"
"170","2018-04-08",2018,9.29912081190864,24.4099682511336,4,8,98,30,10809023,20,15.6040593645898,"brown",0,"Breeding season"
"171","2018-04-14",2018,9.29912081190864,24.4099682511336,4,14,104,30,10934972,18,20.3942683987814,"brown",0,"Breeding season"
"172","2018-04-16",2018,9.29912081190864,24.4099682511336,4,16,106,30,11024366,16,23.3772517754164,"brown",0,"Breeding season"
"173","2018-04-18",2018,9.29912081190864,24.4099682511336,4,18,108,30,11147430,10,20.4457600528518,"brown",0,"Breeding season"
"174","2018-04-19",2018,9.29912081190864,24.4099682511336,4,19,109,30,11180022,20,15.7185657249943,"green",1,"Breeding season"
