id,datetime,local_hour,county,scientific_name,hour_temperature,color,latitude.x,longitude.x,colorid,weeks,month,Season
10443646,2018-03-24 14:16:03 -0500,15,travis,Anolis carolinensis,25.37583810959329,brown,30.1622753143,-97.7422943115,0,12,3,summer excluded
104457589,2021-12-01 12:00:27 -0500,12,alachua,Anolis carolinensis,21.76762828941581,green,29.6522289143,-82.3244798355,1,48,12,summer excluded
104457589,2021-12-01 12:00:27 -0500,12,alachua,Anolis carolinensis,19.688038306430464,green,29.6522289143,-82.3244798355,1,48,12,summer excluded
104480864,2022-01-06 14:29:37 -0500,14,mecklenburg,Anolis carolinensis,12.585234930151445,brown,35.2237033333,-80.8473883333,0,1,1,summer excluded
104490834,2022-01-06 15:35:40 -0500,15,miamidade,Anolis carolinensis,26.624250628650223,green,25.60787,-80.401055,1,1,1,summer excluded
10457155,2018-03-20 13:14:06 -0500,14,harris,Anolis carolinensis,26.732637566303502,green,29.7652416667,-95.450195,1,12,3,summer excluded
10466368,2018-03-27 22:35:10 -0500,23,harris,Anolis carolinensis,15.89849921125582,green,29.70128092,-95.16637922,1,13,3,summer excluded
104823880,2021-12-16 12:23:34 -0500,12,orange,Anolis carolinensis,25.051869527075286,green,28.534805,-81.2568883333,1,50,12,summer excluded
10495397,2018-03-29 16:27:11 -0500,17,travis,Anolis carolinensis,18.31465667025452,green,30.24833,-97.737755,1,13,3,summer excluded
10495397,2018-03-29 16:27:11 -0500,17,travis,Anolis carolinensis,20.001535217938073,green,30.24833,-97.737755,1,13,3,summer excluded
10496660,2018-03-29 16:01:29 -0500,17,travis,Anolis carolinensis,18.31465667025452,green,30.2635631561,-97.7680358887,1,13,3,summer excluded
10496660,2018-03-29 16:01:29 -0500,17,travis,Anolis carolinensis,20.001535217938073,green,30.2635631561,-97.7680358887,1,13,3,summer excluded
104974052,2020-11-14 12:30:58 -0500,12,wake,Anolis carolinensis,19.24990920441717,brown,35.6513,-78.8336,0,46,11,summer excluded
10498948,2018-03-29 17:15:37 -0500,18,harris,Anolis carolinensis,17.41126708883979,green,29.7732966667,-95.618325,1,13,3,summer excluded
10498948,2018-03-29 17:15:37 -0500,18,harris,Anolis carolinensis,19.267261480417133,green,29.7732966667,-95.618325,1,13,3,summer excluded
10510890,2018-03-30 13:53:52 -0500,14,jefferson,Anolis carolinensis,23.644718173477322,brown,33.720676289,-86.5568744392,0,13,3,summer excluded
105154448,2021-12-12 15:04:13 -0500,15,newhanover,Anolis carolinensis,23.52589399423006,green,33.9750472222,-77.9146416667,1,50,12,summer excluded
105237117,2022-01-06 09:09:25 -0500,9,miamidade,Anolis carolinensis,20.3966524835621,green,25.690245,-80.2847533333,1,1,1,summer excluded
105290404,2022-01-20 14:33:01 -0500,14,hillsborough,Anolis carolinensis,22.70500942864857,green,27.9877861111,-82.3070666667,1,3,1,summer excluded
